ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,week_day,month,hour,day_type
84311DAAA0964E74,docked_bike,9/4/2020 9:04,9/4/2020 9:09,Indiana Ave & 31st St,272,Rhodes Ave & 32nd St,263,41.838842,-87.621857,41.836208,-87.613533,member,5,Fri,Sep,9,Weekday
F5516392EEB18D19,docked_bike,9/4/2020 18:32,9/4/2020 19:43,Southport Ave & Wellington Ave,153,Sheffield Ave & Wrightwood Ave,302,41.935733,-87.663576,41.928712,-87.653833,casual,71,Fri,Sep,18,Weekday
0DB1CD63D78EACF8,docked_bike,9/18/2020 7:47,9/18/2020 8:11,LaSalle Dr & Huron St,627,Broadway & Cornelia Ave,303,41.894877,-87.632326,41.945529,-87.646439,casual,24,Fri,Sep,7,Weekday
1D3D4FE6C938D7ED,docked_bike,9/4/2020 11:13,9/4/2020 11:23,Southport Ave & Wellington Ave,153,Sheffield Ave & Fullerton Ave,67,41.935733,-87.663576,41.92560188,-87.65370804,casual,10,Fri,Sep,11,Weekday
88A370250451A545,electric_bike,9/25/2020 16:22,9/25/2020 16:43,Fairbanks Ct & Grand Ave,24,Wabash Ave & 16th St,72,41.89219417,-87.6209275,41.8606645,-87.6257105,casual,21,Fri,Sep,16,Weekday
CEE5D03F33509AFA,docked_bike,7/31/2020 21:29,7/31/2020 22:00,LaSalle St & Illinois St,181,Kedzie Ave & Milwaukee Ave,260,41.890762,-87.631697,41.929567,-87.707857,casual,31,Fri,Jul,21,Weekday
4ABF035EFCCD11D6,docked_bike,7/24/2020 17:19,7/24/2020 17:30,Racine Ave & Belmont Ave,226,Racine Ave & Fullerton Ave,87,41.939743,-87.658865,41.92556258,-87.65840426,casual,11,Fri,Jul,17,Weekday
5166DE2D188FBB77,docked_bike,6/12/2020 22:02,6/12/2020 22:17,Clark St & Elm St,176,Wabash Ave & 9th St,321,41.902973,-87.63128,41.870769,-87.625734,casual,15,Fri,Jun,22,Weekday
439344E578DF079D,docked_bike,8/28/2020 8:32,8/28/2020 8:52,Southport Ave & Wrightwood Ave,190,Rush St & Superior St,161,41.928773,-87.663913,41.89576475,-87.62590803,member,20,Fri,Aug,8,Weekday
2791D36A90A59568,docked_bike,7/24/2020 12:20,7/24/2020 12:46,Honore St & Division St,17,Dusable Harbor,6,41.903119,-87.673935,41.886976,-87.612813,member,26,Fri,Jul,12,Weekday
2B35E84205C8F361,docked_bike,7/17/2020 13:37,7/17/2020 13:54,Federal St & Polk St,41,Adler Planetarium,341,41.872078,-87.629544,41.866095,-87.607267,casual,17,Fri,Jul,13,Weekday
016189890B8180D9,docked_bike,7/10/2020 13:07,7/10/2020 13:20,Lincoln Ave & Fullerton Ave,127,Theater on the Lake,177,41.925905,-87.64926,41.926277,-87.630834,casual,13,Fri,Jul,13,Weekday
4D393BD1FA0C99C6,electric_bike,10/9/2020 19:53,10/9/2020 20:01,Lakeview Ave & Fullerton Pkwy,313,Wells St & Evergreen Ave,291,41.92578333,-87.6389545,41.906884,-87.6349855,member,8,Fri,Oct,19,Weekday
63F859B5527329BD,docked_bike,10/16/2020 11:08,10/16/2020 11:15,Franklin St & Monroe St,287,Larrabee St & Kingsbury St,48,41.880317,-87.635185,41.897764,-87.642884,member,7,Fri,Oct,11,Weekday
5671CC8DC7D1D673,docked_bike,2/7/2020 9:26,2/7/2020 9:33,Loomis St & Lexington St,320,Morgan St & Polk St,241,41.8722,-87.6615,41.8717,-87.651,member,7,Fri,Feb,9,Weekday
C190D48F81F4B503,electric_bike,9/25/2020 23:12,9/25/2020 23:54,Damen Ave & Thomas St (Augusta Blvd),183,Lake Shore Dr & Ohio St,99,41.9013545,-87.67746333,41.89258733,-87.61444483,casual,42,Fri,Sep,23,Weekday
7C9808D619F78B77,docked_bike,8/28/2020 13:04,8/28/2020 13:11,Ravenswood Ave & Irving Park Rd,244,Ravenswood Ave & Lawrence Ave,344,41.95469,-87.67393,41.96909,-87.674237,member,7,Fri,Aug,13,Weekday
61E856A29BD10AF9,docked_bike,8/14/2020 13:07,8/14/2020 13:20,Lincoln Ave & Belmont Ave,131,Lincoln Ave & Fullerton Ave,127,41.939365,-87.668385,41.925905,-87.64926,casual,13,Fri,Aug,13,Weekday
C490C29D7366A362,docked_bike,9/18/2020 16:17,9/18/2020 16:27,Milwaukee Ave & Grand Ave,84,St. Clair St & Erie St,211,41.891578,-87.648384,41.894448,-87.622663,member,10,Fri,Sep,16,Weekday
5EE430812CBFED1E,docked_bike,7/17/2020 16:40,7/17/2020 17:04,Kingsbury St & Kinzie St,133,Artesian Ave & Hubbard St,376,41.889176,-87.638505,41.88949182,-87.68821936,member,24,Fri,Jul,16,Weekday
481616F85E65A572,docked_bike,6/26/2020 12:37,6/26/2020 12:49,MLK Jr Dr & 63rd St,430,Halsted St & 63rd St,388,41.78008,-87.615942,41.77938114,-87.64462081,casual,12,Fri,Jun,12,Weekday
90C240900798FD6F,docked_bike,6/12/2020 19:52,6/12/2020 20:39,Wolcott (Ravenswood) Ave & Montrose Ave,238,Keystone Ave & Montrose Ave,495,41.961406,-87.676169,41.961108,-87.72897,casual,47,Fri,Jun,19,Weekday
22BD53249C1B2A83,docked_bike,6/5/2020 18:34,6/5/2020 18:56,Humboldt Blvd & Armitage Ave,507,Wood St & Hubbard St,285,41.917513,-87.701808,41.889899,-87.671473,member,22,Fri,Jun,18,Weekday
9525D46ECA692919,docked_bike,6/12/2020 20:44,6/12/2020 21:09,Sheffield Ave & Kingsbury St,20,Pine Grove Ave & Waveland Ave,232,41.910522,-87.653106,41.94986772,-87.64606118,member,25,Fri,Jun,20,Weekday
1ED892F51E550DBA,docked_bike,8/21/2020 20:00,8/21/2020 20:13,Eckhart Park,86,Clark St & Chicago Ave,337,41.896373,-87.660983,41.89675,-87.63089,member,13,Fri,Aug,20,Weekday
453D3B61BD722938,docked_bike,8/14/2020 16:56,8/14/2020 17:24,California Ave & Fletcher St,498,Richmond St & Diversey Ave,501,41.938428,-87.698007,41.93190197,-87.70119513,member,28,Fri,Aug,16,Weekday
9D1C52B38D29DCEE,docked_bike,11/6/2020 17:17,11/6/2020 17:21,Halsted St & Dickens Ave,225,Clifton Ave & Armitage Ave,223,41.919936,-87.64883,41.918216,-87.656936,member,4,Fri,Nov,17,Weekday
808B6A99697229ED,docked_bike,11/13/2020 6:16,11/13/2020 7:21,Walsh Park,628,Central Park Ave & North Ave,508,41.91461,-87.667968,41.90965688,-87.71663195,casual,65,Fri,Nov,6,Weekday
D03767ED2895351B,docked_bike,7/31/2020 17:53,7/31/2020 18:26,Theater on the Lake,177,Damen Ave & Grand Ave,214,41.926277,-87.630834,41.89122,-87.67686,casual,33,Fri,Jul,17,Weekday
B4D923E63D57A543,docked_bike,7/3/2020 10:09,7/3/2020 10:28,Clark St & Newport St,632,Lake Shore Dr & Diversey Pkwy,329,41.94454,-87.654678,41.932588,-87.636427,casual,19,Fri,Jul,10,Weekday
A76BD1066E679E69,docked_bike,7/24/2020 23:42,7/24/2020 23:48,Southport Ave & Wellington Ave,153,Greenview Ave & Fullerton Ave,188,41.935733,-87.663576,41.92533,-87.6658,casual,6,Fri,Jul,23,Weekday
77F2DFFF0D877E56,docked_bike,7/10/2020 19:02,7/10/2020 19:13,Clark St & Elm St,176,Wells St & Hubbard St,212,41.902973,-87.63128,41.889906,-87.634266,member,11,Fri,Jul,19,Weekday
C731BF42046629CC,docked_bike,10/16/2020 18:11,10/16/2020 18:19,Clark St & Elm St,176,LaSalle St & Illinois St,181,41.902973,-87.63128,41.890762,-87.631697,member,8,Fri,Oct,18,Weekday
0E0017840E17CE7D,docked_bike,10/23/2020 19:44,10/23/2020 19:56,Sheridan Rd & Lawrence Ave,323,Sheridan Rd & Lawrence Ave,323,41.969517,-87.654691,41.969517,-87.654691,member,12,Fri,Oct,19,Weekday
2087457870DFCCB4,docked_bike,1/10/2020 18:06,1/10/2020 18:38,Larrabee St & Kingsbury St,48,Blue Island Ave & 18th St,129,41.8978,-87.6429,41.8576,-87.6615,member,32,Fri,Jan,18,Weekday
CF56A0ECB0A93035,docked_bike,1/17/2020 7:02,1/17/2020 7:10,LaSalle Dr & Huron St,627,Mies van der Rohe Way & Chestnut St,145,41.8949,-87.6323,41.8986,-87.6219,member,8,Fri,Jan,7,Weekday
663D34A14E6E8FE9,docked_bike,2/28/2020 16:01,2/28/2020 16:06,Broadway & Belmont Ave,296,Pine Grove Ave & Waveland Ave,232,41.9401,-87.6455,41.9493,-87.6463,member,5,Fri,Feb,16,Weekday
